,,,,,
,ID,Title,Mod,Tournament - Stage,Rank Range
,3415866,Eine Kleine - Traumerei [Reverie] (Dark Mitatsh),NM1, nik's winter cup 2022 Round of  32,1-∞
,3180049,Xi - Native file [Tribulation from the Native Gods] (AdveNt),NM2, nik's winter cup 2022 Round of  32,1-∞
,1918539,Co shu Nie - ZETTAI ZETSUMEI [22194] (Crissa),NM3, nik's winter cup 2022 Round of  32,1-∞
,2733296,seatrus - MONONOKE [Cubby's Expert] (Realazy),NM4, nik's winter cup 2022 Round of  32,1-∞
,2998444,MASAKI (ZUNTATA) - Touhou Kijinretsu [Halfslashed's Extra] (Sparhten),NM5, nik's winter cup 2022 Round of  32,1-∞
,3424922,deleted beatmap,HD1, nik's winter cup 2022 Round of  32,1-∞
,2631202,Silentroom - Alt Futur [Expert] (Lasse),HD2, nik's winter cup 2022 Round of  32,1-∞
,1052124,nayuta & yuikonnu - Super nuko ni naritai [Eliminyation] (Pho),HR1, nik's winter cup 2022 Round of  32,1-∞
,1600778,ak+q - Ignotus [FUTURE+] (Ryuusei Aika),HR2, nik's winter cup 2022 Round of  32,1-∞
,3424918,ROUND TABLE - Puzzle (feat. Nino) [Lumen] (jazzberry),DT1, nik's winter cup 2022 Round of  32,1-∞
,772983,yak_won - Sewing Machine [Insane] (ktgster),DT2, nik's winter cup 2022 Round of  32,1-∞
,3424076,TD - 28619029byte remix [Welcome to Clicking Ability Test Simulator Techno Drive] (Chriz),DT3, nik's winter cup 2022 Round of  32,1-∞
,734184,Yuuyu - Scrap Syndrome [Another] (Snow Note),FM1, nik's winter cup 2022 Round of  32,1-∞
,17459,Takeharu Ishimoto - Twister (Subarashiki Mix) [Ultimate] (awp),FM2, nik's winter cup 2022 Round of  32,1-∞
,2075268,F-777 - Space Battle [Intense] (DeRandom Otaku),TB1, nik's winter cup 2022 Round of  32,1-∞
,,,,,
,3435566,Izumi Akazawa (CV. Madoka Yonezawa) - Responsibility Response [NM1] (Basensorex),NM1, nik's winter cup 2022 Round of  16,1-∞
,3154777,F-777 - Vortex [THREE DIMENSIONS] (knowledgeking),NM2, nik's winter cup 2022 Round of  16,1-∞
,3359370,Nanahoshi Kangengakudan - MAKE A LOSER (inst) [Yudragen's Expert] (Keqing),NM3, nik's winter cup 2022 Round of  16,1-∞
,3193011,SEPHID - Enneaquest [Virtual Dive] (Altai),NM4, nik's winter cup 2022 Round of  16,1-∞
,3181311,katagiri - Nyan-Nyan Naughty Night [Catgirls Save Lives] (Fisky),NM5, nik's winter cup 2022 Round of  16,1-∞
,2621890,WataruP - Sakura Zensen Ijou Nashi [ExtrA] (rollpan),HD1, nik's winter cup 2022 Round of  16,1-∞
,1946518,onoken - Quinine -A2D SIDE- [ExtrA] (Matrix),HD2, nik's winter cup 2022 Round of  16,1-∞
,3192918,ZAQ - BRAVER [Revolution] (SkyFlame),HR1, nik's winter cup 2022 Round of  16,1-∞
,2063891,kors k - Playing With Fire [kiddly's Mythic] (deetz),HR2, nik's winter cup 2022 Round of  16,1-∞
,3436388,Ito Kanako - A.R. [Chronokinesis] (xidorn),DT1, nik's winter cup 2022 Round of  16,1-∞
,3167276,GaMetal - Level 1 (Silver Surfer) [Alien] (Hobbes2),DT2, nik's winter cup 2022 Round of  16,1-∞
